id_student,final_result,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disabilit1,date_registration,date_unregistration,Assessment 1,Assessmentn-1,Last assessment,Exam,Premoduleforumng,Premodulehomepage,Premoduleoucontent,Premoduleresource,Premodulesubpage,Assess1forumng,Assess1homepage,Assess1oucontent,Assess1resource,Assess1subpage,Assessn_1forumng,Assessn_1homepage,Assessn_1oucontent,Assessn_1resource,Assessn_1subpage,Preexamforumng,Preexamhomepage,Preexamoucontent,Preexamresource,Preexamsubpage
3733,1,1,1,1,1,1,0,60,0,-68,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8462,1,1,2,1,2,1,0,90,0,-137,119,93,85,0,0,9,32,31,0,2,26,109,22,40,188,1,43,11,30,37,0,0,0,0,0
27417,1,1,3,2,3,2,0,60,0,-74,208,48,38.66666667,0,0,4,2,0,0,1,96,63,10,3,13,42,34,45,42,6,0,0,0,0,0
27935,2,2,4,2,2,2,0,60,1,-134,0,75,75.33333333,0,0,10,20,7,2,20,99,162,43,27,134,33,77,14,12,77,0,0,0,0,0
28046,2,2,5,1,4,3,0,70,0,-190,0,58,56,24,40,0,12,10,0,0,46,49,48,4,26,44,71,42,20,111,2,30,0,8,38
29411,3,1,6,3,5,2,0,60,0,-96,0,75,79,66,62,0,18,16,16,2,32,37,23,5,26,122,116,12,18,65,15,40,3,48,100
30549,2,1,7,3,6,3,2,60,0,-102,0,35,0,0,0,0,12,1,0,3,7,28,29,3,24,0,18,2,0,6,0,0,0,0,0
31173,2,1,8,3,7,3,1,60,0,-44,0,92,46.25,47,27,0,0,0,0,0,24,53,32,2,34,61,117,192,19,26,77,42,4,23,27
31269,1,2,6,3,2,3,0,120,0,-53,19,45,67,0,0,33,51,14,6,21,72,24,6,16,28,84,76,56,30,66,0,0,0,0,0
33387,1,1,9,1,4,2,1,120,0,-43,179,65,56,0,0,0,1,0,0,0,16,38,55,10,21,7,24,43,6,6,0,0,0,0,0
33681,1,1,7,3,8,3,2,60,1,-151,208,94,68,0,0,0,31,29,7,18,25,40,27,12,38,8,36,70,25,37,0,0,0,0,0
33897,1,1,10,2,2,2,0,60,0,-58,107,50,0,0,0,0,0,0,0,0,33,33,102,14,112,0,2,17,0,3,0,0,0,0,0
33930,3,2,3,3,9,2,0,90,0,-143,0,78,85.75,0,67,5,25,25,2,1,41,65,9,6,27,85,90,9,4,13,12,19,0,10,7
34087,1,1,7,3,3,3,0,60,1,-75,169,88,83,0,0,15,6,0,0,0,38,47,22,6,33,12,43,19,8,18,0,0,0,0,0
34653,2,1,6,2,2,2,0,60,0,-149,0,0,49,0,0,7,16,29,0,14,16,9,9,13,32,13,14,7,5,18,0,0,0,0,0
35859,2,1,8,3,1,2,0,60,0,-151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
