ID,final_result,d_male,d_female,Age as of Academic Year 17/18,d_currentyear_FS1,d_currentyear_FS2,d_Grade1-3,d_Grade4-7,d_Grade8-9,d_grade10-11,d_y1-5,d_y6-7,dy89,y10-12,dKG1,d_KG2,d_school1_currentstudent,d_school2_currentstudent,d_New_Admission 18/19,d_previouscurriculum,d_school1,d_school2,americancurr,britishcurr,Math-exam,Science-exam,English-exam,Math19-1,Science19-1,English19-1,Math19-2,Science19-2,English19-2,Math19-3,Science19-3,English19-3,Math20-1,Science20-1,English20-1,Science20-2,English20-2,Science20-3,English20-3
1,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,81,59,65,88,82,90,84,86,85,83,52,70,64,62,87,98,84,98,81
2,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,66,89,67,76,82,57,58,77,74,95,62,60,60,84,89,96,70,71,99
3,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,90,55,87,81,69,73,70,75,80,84,65,71,84,72,88,84,74,85,86
4,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,84,73,83,52,62,73,71,63,82,59,68,93,66,83,95,99,75,84,85
5,Pass with distinction,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,85,52,69,52,77,57,81,57,94,69,70,58,70,61,85,82,75,86,69
6,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,77,86,67,61,89,55,92,87,59,80,51,88,78,81,71,85,85,78,69
7,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,69,66,61,82,82,50,91,77,55,54,73,79,67,94,77,73,87,74,78
8,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,92,87,99,82,86,69,65,66,73,93,70,80,78,77,76,86,82,87,83
9,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,79,72,69,92,67,91,81,94,95,57,76,56,73,81,69,96,79,91,99
10,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,55,58,67,59,60,70,45,59,68,67,70,62,68,64,72,78,65,80,82
11,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,73,74,57,95,79,55,81,88,76,81,60,64,67,76,66,76,82,78,80
12,Pass with distinction,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,86,97,75,68,71,72,89,71,79,93,97,96,99,97,78,81,84,90,92
13,Pass with distinction,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,100,86,95,60,64,84,88,89,67,89,73,93,77,100,79,81,93,89,91
14,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,83,78,64,55,87,55,93,90,88,73,77,91,92,94,89,87,81,76,98
15,Pass with distinction,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,77,56,62,73,92,77,94,80,92,65,51,54,94,94,90,79,92,78,84
16,Pass,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,50,53,52,59,60,52,60,55,62,53,56,68,59,60,60,60,59,65,70
17,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,75,85,88,83,66,60,80,81,72,93,71,89,89,82,83,79,86,81,86
18,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,97,80,83,81,88,86,79,86,70,93,93,90,81,84,80,85,90,86,80
19,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,52,85,67,64,50,83,70,87,65,86,51,54,91,61,74,76,71,79,70
20,Pass,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,60,58,54,69,70,58,64,40,55,69,45,50,65,48,50,55,59,58,58
21,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,95,75,70,72,95,81,76,90,91,95,56,89,67,93,88,73,80,90,99
22,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,98,71,71,67,84,65,78,86,86,92,89,75,79,81,95,95,89,94,83
23,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,60,57,80,76,73,73,65,61,86,67,91,56,81,61,74,80,84,79,80
24,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,76,54,85,59,65,69,74,81,80,57,76,57,90,69,95,69,97,92,84
25,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,60,50,58,51,80,66,59,68,60,57,69,56,65,62,73,96,82,95,95
26,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,98,79,81,82,86,73,66,74,89,97,87,78,89,86,98,76,93,93,94
27,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,90,90,79,66,68,90,71,84,73,92,93,78,87,83,81,82,88,80,90
28,Pass with distinction,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,89,72,94,65,84,71,74,66,65,75,85,97,99,87,98,87,90,94,81
29,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,76,54,83,87,73,85,68,86,81,60,92,87,79,80,69,82,72,94,95
30,Pass with distinction,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,91,83,53,57,68,74,72,57,76,86,76,86,84,64,75,77,69,81,92
31,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,77,98,89,90,60,72,77,72,82,90,83,74,85,90,78,85,84,83,85
32,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,61,86,85,75,50,92,87,94,95,65,62,93,71,84,66,92,71,88,95
33,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,89,96,90,84,90,78,86,85,78,79,92,92,87,80,82,84,75,88,97
34,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,94,90,69,63,60,90,61,63,56,79,83,63,86,75,71,76,73,82,93
35,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,83,52,70,78,56,89,62,60,75,57,63,83,78,95,70,91,82,71,87
36,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,71,86,73,68,77,93,66,73,57,76,65,91,81,93,76,70,78,84,85
37,Pass,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,83,83,90,62,59,51,95,56,88,50,62,81,67,83,83,88,70,78,95
38,Pass with distinction,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,80,80,85,93,94,92,80,75,66,76,94,60,69,79,83,97,72,84,81
39,Pass with distinction,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,71,80,62,93,69,69,68,91,91,75,56,71,83,61,78,91,75,79,77
40,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,93,94,60,66,92,72,94,78,94,73,93,87,78,69,60,78,87,76,72
41,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,85,80,78,65,68,74,81,75,79,96,70,85,83,80,82,75,89,97,98
42,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,90,100,80,63,84,68,71,73,88,79,71,75,98,76,97,88,94,100,91
43,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,62,64,74,83,71,60,60,79,74,62,70,82,65,61,72,97,87,95,83
44,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,77,65,79,82,61,53,64,61,62,57,70,55,66,92,63,85,81,80,94
45,Pass with distinction,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,73,53,72,93,95,88,71,86,81,50,60,70,90,89,86,95,80,82,85
46,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,77,69,72,64,53,72,88,72,61,70,62,83,78,86,83,76,69,92,75
47,Pass with distinction,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,50,63,87,94,86,56,78,82,87,76,57,75,73,79,89,88,73,85,75
48,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,68,72,84,83,65,71,84,94,63,80,53,95,67,68,90,93,94,69,96
49,Pass with distinction,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,90,79,87,81,60,64,62,71,69,80,84,50,90,93,73,87,78,75,96
50,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,69,81,63,59,68,68,64,78,85,88,82,51,82,66,64,72,81,71,96
51,Pass with distinction,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,52,69,52,95,80,60,66,79,63,88,61,69,85,73,86,78,88,82,87
52,Pass with distinction,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,92,89,85,94,76,89,93,94,86,81,55,88,76,63,68,87,90,83,91
53,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,87,67,86,83,92,62,77,61,62,70,60,82,70,64,63,87,91,92,70
54,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,56,56,61,79,65,63,85,84,86,75,91,50,60,88,83,79,82,96,75
55,Pass with distinction,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,64,69,85,58,68,57,95,81,69,59,63,74,71,65,67,95,72,94,90
56,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,89,58,77,91,66,93,93,84,66,61,85,77,92,79,95,78,69,71,77
57,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,65,70,52,58,91,71,77,63,79,94,59,90,95,79,67,78,72,86,80
58,Pass with distinction,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,80,58,58,89,94,76,78,59,87,90,88,61,70,79,73,75,70,72,87
59,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,85,67,75,70,59,94,89,63,81,59,72,61,81,81,85,94,76,94,82
60,Pass with distinction,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,53,54,52,82,52,72,72,65,86,66,54,69,90,76,73,93,86,94,99
61,Pass with distinction,1,0,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,65,79,85,68,61,73,62,82,63,80,76,51,93,70,87,81,77,92,79
62,Pass with distinction,0,1,13,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,84,88,91,82,63,71,66,69,77,82,81,54,70,78,73,79,72,97,86
