traveltime,G1,G2,G3
2,0,11,11
1,9,11,11
1,12,13,12
1,14,14,14
1,11,13,13
1,12,12,13
1,13,12,13
2,10,13,13
1,15,16,17
1,12,12,13
1,14,14,14
3,10,12,13
1,12,13,12
2,12,12,13
1,14,14,15
1,17,17,17
1,13,13,14
3,13,14,14
1,8,8,7
1,12,12,12
1,12,13,14
1,11,12,12
1,12,13,14
2,10,10,10
1,10,11,10
1,10,11,12
1,11,12,12
1,11,11,11
1,12,12,13
1,12,11,12
1,10,11,11
2,15,15,15
1,13,14,15
1,13,12,12
1,12,12,12
2,11,11,11
1,14,14,14
2,13,13,13
1,11,12,12
1,14,13,12
2,11,11,10
1,10,11,11
1,14,15,15
1,9,10,10
2,10,11,11
1,10,11,11
1,13,12,13
1,17,17,17
1,11,12,13
1,13,12,12
3,14,13,13
1,16,14,16
2,10,9,9
1,13,12,12
1,13,12,13
1,12,13,12
1,15,14,15
1,15,15,16
1,14,13,14
1,16,15,16
1,17,16,16
4,10,10,16
1,13,13,10
1,14,13,13
1,13,12,12
3,16,15,16
1,11,12,12
1,10,9,10
2,11,10,11
2,15,15,15
2,13,11,11
1,11,9,10
1,13,11,11
1,13,13,14
1,11,11,11
1,11,11,11
2,12,11,11
1,13,13,13
2,9,9,10
1,12,11,11
1,11,11,12
1,10,9,9
1,12,11,11
2,13,12,13
1,13,12,12
2,12,11,12
1,13,11,11
1,15,15,15
2,12,10,11
1,9,9,10
1,9,11,11
1,14,13,13
1,12,13,12
2,13,14,14
1,11,12,12
2,13,13,13
2,9,11,11
1,13,12,12
1,12,13,13
1,12,13,13
1,9,9,8
1,16,16,16
1,12,13,12
2,11,10,10
1,16,16,16
1,10,10,10
1,10,10,10
1,13,14,14
4,12,10,11
1,15,15,14
1,13,14,14
1,11,11,11
1,8,10,10
1,18,17,18
1,10,9,10
1,16,14,14
2,16,15,16
2,14,14,15
3,12,11,11
1,14,13,14
1,14,14,14
1,14,13,13
2,14,12,13
1,12,13,13
1,12,11,11
1,9,9,9
1,10,11,11
1,9,10,11
1,14,14,15
2,13,12,13
2,10,11,12
1,10,9,8
3,11,10,11
3,11,12,13
1,13,12,12
1,15,13,14
4,9,9,11
1,13,11,11
4,12,11,11
1,13,14,15
3,10,9,10
4,14,13,13
2,11,11,12
1,12,11,11
2,12,11,11
2,9,9,10
1,10,10,10
2,13,14,14
3,8,9,9
2,9,11,11
1,9,8,9
1,15,13,13
2,12,11,11
1,13,13,13
1,10,11,11
1,9,7,6
1,12,12,12
2,11,10,10
1,11,11,11
1,13,12,13
1,11,11,11
1,9,9,8
4,12,11,11
1,11,9,0
1,9,10,10
2,13,13,13
1,11,9,11
1,13,13,13
1,7,8,8
1,9,8,10
3,11,10,11
3,12,10,11
1,10,10,1
2,9,8,10
2,8,8,9
2,7,6,8
2,8,9,10
1,9,8,8
4,8,8,8
2,8,7,8
1,9,10,11
1,17,17,18
1,12,12,13
1,16,16,17
3,9,9,10
2,16,17,18
1,11,9,10
1,14,13,13
2,14,14,15
2,10,11,11
2,13,12,14
1,11,9,10
1,10,9,11
1,11,11,13
1,11,10,11
1,11,12,13
1,17,18,17
1,14,13,14
1,14,15,16
1,11,13,14
1,10,9,11
1,13,14,16
1,12,13,14
1,9,9,10
1,12,12,13
1,12,11,12
2,10,11,12
1,11,10,10
2,13,12,12
1,14,15,16
1,13,13,14
3,10,11,12
2,14,15,16
1,11,10,11
1,14,14,15
1,11,12,12
1,14,15,15
1,13,13,13
2,13,13,13
1,8,9,8
1,11,11,12
1,14,15,15
2,12,13,13
2,11,12,12
1,12,12,12
1,13,12,12
1,13,13,13
1,12,11,11
1,12,11,11
2,14,16,15
1,11,9,10
1,10,10,10
2,12,13,13
1,12,12,13
2,11,10,11
1,12,12,12
1,13,13,14
2,10,9,10
1,15,16,16
1,8,8,8
1,17,18,17
1,10,11,11
4,9,10,11
2,15,15,16
1,14,12,12
2,12,13,13
1,13,13,13
1,13,13,14
2,9,9,9
2,12,12,12
1,16,16,16
1,9,10,10
1,14,13,13
2,10,10,10
1,9,8,10
2,8,7,7
1,7,8,8
1,10,8,9
1,14,14,15
1,11,10,10
1,12,11,11
3,13,13,13
4,9,9,8
1,8,7,8
1,11,9,10
2,15,14,15
1,15,14,14
2,15,15,15
2,12,12,12
1,14,14,15
1,14,15,15
1,11,11,12
2,13,14,15
2,11,11,11
1,10,9,10
2,12,10,11
3,15,16,16
1,11,10,11
2,9,12,13
1,7,8,5
1,10,9,10
1,11,12,11
2,7,8,7
3,9,11,10
1,7,8,6
2,14,13,12
1,12,12,13
2,9,10,10
1,12,12,13
1,14,15,17
1,10,10,11
3,11,10,11
1,11,12,14
1,11,12,14
1,11,11,13
1,11,13,14
1,16,16,16
2,9,10,10
1,10,11,12
2,10,12,12
1,15,15,15
1,10,10,11
1,10,11,12
1,15,12,13
1,11,12,13
2,8,8,9
2,15,16,16
1,11,11,14
2,10,11,12
1,10,12,14
2,8,9,10
1,11,12,12
1,16,16,16
2,13,13,13
1,16,17,18
1,14,14,15
2,15,16,16
2,12,12,12
2,12,9,10
2,11,12,12
1,14,12,13
3,13,15,15
1,9,8,10
2,10,10,10
2,10,10,11
2,11,11,10
1,13,13,13
2,17,17,18
2,12,13,13
1,12,12,14
2,12,13,14
1,12,12,12
1,18,18,18
1,13,13,14
1,14,15,15
1,17,17,17
1,15,16,16
1,17,18,18
2,18,19,19
2,14,15,15
1,14,15,15
2,14,13,13
2,13,14,14
1,16,17,17
1,18,18,17
1,14,15,15
2,12,13,13
2,7,7,8
2,16,16,16
1,18,18,18
2,9,10,11
1,14,15,15
1,10,10,11
1,10,10,11
2,12,12,15
2,11,12,14
1,15,16,17
1,14,15,17
2,12,12,15
1,15,15,17
1,11,12,14
2,11,10,10
1,12,11,13
1,11,12,14
1,14,15,17
1,15,14,17
1,12,12,13
1,11,12,14
1,8,9,11
3,10,10,11
3,8,8,9
1,10,10,10
1,14,13,13
1,11,11,10
1,17,18,17
2,14,14,15
2,14,14,14
1,13,14,13
1,17,18,17
4,11,10,10
1,13,12,13
2,15,14,15
1,11,12,11
1,11,11,12
1,11,10,10
4,10,9,10
1,15,15,15
1,15,14,15
1,10,11,12
1,10,9,12
2,14,13,14
1,11,13,14
1,12,13,15
1,14,14,15
1,14,14,16
1,12,12,13
1,16,16,17
1,10,12,14
1,11,12,14
1,14,16,17
1,15,14,17
1,14,13,14
1,11,12,13
2,12,15,15
1,12,16,16
2,10,11,11
1,10,13,13
1,9,12,12
1,9,11,12
1,13,14,15
1,13,17,17
1,12,15,15
1,14,17,17
2,9,10,10
2,11,15,15
1,9,10,11
1,16,18,18
1,14,17,17
1,13,14,14
1,7,11,11
2,14,17,17
2,8,10,10
1,10,13,13
2,10,11,11
2,12,12,12
1,10,10,10
2,10,10,11
2,16,17,17
2,6,8,9
1,10,11,11
1,10,11,11
1,10,10,10
1,6,6,7
2,13,14,14
2,10,9,11
2,10,10,10
2,6,7,8
2,12,11,12
2,10,11,12
2,14,16,16
2,7,0,0
1,8,9,9
1,12,13,14
1,7,9,8
3,9,10,11
4,7,9,9
1,11,11,11
3,8,10,9
2,16,16,17
2,11,13,13
3,15,15,15
2,10,11,11
3,9,10,11
1,10,8,8
1,9,8,8
1,9,10,9
1,13,14,15
1,10,11,11
4,13,10,13
4,10,9,10
2,11,10,11
2,13,12,14
3,13,14,14
1,14,11,12
2,11,11,11
1,9,8,8
2,10,9,11
3,14,13,14
3,13,12,13
1,13,12,13
1,13,12,12
2,12,11,12
3,14,14,16
2,10,8,10
3,10,11,11
2,12,13,14
1,10,8,8
2,12,10,11
2,7,7,8
1,9,9,10
1,9,9,10
3,9,10,11
2,9,10,9
3,9,10,11
1,7,7,8
2,11,10,11
1,9,10,10
2,7,9,10
1,7,9,9
2,8,9,10
2,9,11,10
2,7,8,9
1,8,10,10
2,9,9,10
1,8,9,9
1,14,13,13
1,14,14,14
2,10,11,10
1,14,13,14
1,17,16,16
1,6,7,7
1,14,12,13
3,10,8,9
1,14,14,14
1,12,13,13
2,11,11,11
2,11,9,10
1,11,11,10
3,10,9,9
3,16,17,18
2,15,17,17
2,11,9,10
1,7,7,7
1,8,6,8
1,7,6,7
2,9,8,10
1,14,16,16
2,14,14,15
1,8,5,8
2,8,7,0
3,6,8,8
2,8,10,10
1,8,8,8
1,5,6,6
3,7,9,8
1,15,14,16
1,13,14,14
4,10,9,10
1,9,9,9
2,11,11,11
1,7,10,9
3,10,10,10
2,9,7,8
1,14,15,16
1,11,12,12
3,9,11,10
3,13,14,14
1,12,13,12
1,11,11,11
2,9,10,10
2,9,11,11
2,11,9,11
2,10,11,12
3,9,9,8
2,12,11,12
1,8,9,8
1,13,15,16
1,10,11,11
1,11,10,11
2,17,18,18
2,12,13,13
2,13,14,13
1,9,9,10
1,11,11,12
2,10,11,10
1,13,14,13
1,9,10,11
2,7,9,10
2,8,13,10
3,12,12,13
2,10,9,10
2,10,9,10
1,11,13,12
1,7,0,0
2,11,9,10
2,10,10,9
2,9,7,9
1,4,0,0
2,6,11,9
1,4,8,8
2,7,8,8
2,8,9,9
2,5,5,7
1,7,9,10
2,8,11,10
1,10,11,10
2,9,10,11
3,10,9,11
2,8,9,10
1,9,10,9
3,8,9,10
2,6,8,8
1,6,8,7
2,8,6,0
2,10,11,11
2,8,7,8
1,8,8,0
1,7,6,8
1,8,10,9
1,7,10,10
3,7,8,7
2,12,13,14
2,11,12,13
2,12,13,14
